chr,bin,cn,counts
1,13,0|3,0
1,13,0|4,0
1,13,0|5,0
1,13,0|6,0
1,13,10|0,0
1,13,1|0,0
1,13,1|1,5
1,13,1|2,1
1,13,1|3,0
1,13,1|4,0
1,13,1|5,0
1,13,1|6,0
1,13,2|0,9
1,13,2|1,367
1,13,2|2,218
1,13,2|3,1
1,13,2|4,0
1,13,2|5,0
1,13,2|6,0
1,13,2|7,0
1,13,2|8,0
1,13,2|9,0
1,13,3|0,0
1,13,3|1,44
1,13,3|10,0
1,13,3|11,0
1,13,3|2,3
1,13,3|3,0
1,13,3|4,0
1,13,3|5,0
1,13,3|6,0
1,13,3|7,0
1,13,3|8,0
1,13,4|0,0
1,13,4|1,1
1,13,4|2,240
1,13,4|3,0
1,13,4|4,0
1,13,4|5,0
1,13,4|6,0
1,13,4|7,0
1,13,4|8,0
1,13,4|9,0
1,13,5|0,0
1,13,5|1,0
1,13,5|2,1
1,13,5|3,0
1,13,5|4,0
1,13,5|5,0
1,13,5|6,0
1,13,5|7,0
1,13,5|8,0
1,13,5|9,0
1,13,6|0,0
1,13,6|1,0
1,13,6|2,0
1,13,6|3,0
1,13,6|4,0
1,13,6|5,0
1,13,6|6,0
1,13,6|7,0
1,13,6|8,0
1,13,6|9,0
1,13,7|0,0
1,13,7|1,0
1,13,7|2,0
1,13,7|3,0
1,13,7|4,0
1,13,7|5,0
1,13,7|6,0
1,13,7|7,0
1,13,8|0,0
1,13,8|1,0
1,13,8|2,0
1,13,8|3,0
1,13,8|4,0
1,13,8|5,0
1,13,8|6,0
1,13,9|0,0
1,13,9|2,0
1,13,9|3,0
1,13,9|4,0
1,13,9|6,0
1,14,0|0,0
1,14,0|1,0
1,14,0|2,0
1,14,0|3,0
1,14,0|4,0
1,14,0|5,0
1,14,0|6,0
1,14,10|0,0
1,14,1|0,4
1,14,1|1,123
1,14,1|2,4
1,14,1|3,0
1,14,1|4,0
1,14,1|5,0
1,14,1|6,0
1,14,2|0,6
1,14,2|1,289
1,14,2|2,214
1,14,2|3,0
1,14,2|4,0
1,14,2|5,0
1,14,2|6,0
1,14,2|7,0
1,14,2|8,0
1,14,2|9,0
1,14,3|0,0
1,14,3|1,9
1,14,3|10,0
1,14,3|11,0
1,14,3|2,220
1,14,3|3,0
1,14,3|4,0
1,14,3|5,0
1,14,3|6,0
1,14,3|7,0
1,14,3|8,0
1,14,4|0,0
1,14,4|1,0
1,14,4|2,21
1,14,4|3,0
1,14,4|4,0
1,14,4|5,0
1,14,4|6,0
1,14,4|7,0
1,14,4|8,0
1,14,4|9,0
1,14,5|0,0
1,14,5|1,0
1,14,5|2,0
1,14,5|3,0
1,14,5|4,0
1,14,5|5,0
1,14,5|6,0
1,14,5|7,0
1,14,5|8,0
1,14,5|9,0
1,14,6|0,0
1,14,6|1,0
1,14,6|2,0
1,14,6|3,0
1,14,6|4,0
1,14,6|5,0
1,14,6|6,0
1,14,6|7,0
1,14,6|8,0
1,14,6|9,0
1,14,7|0,0
1,14,7|1,0
1,14,7|2,0
1,14,7|3,0
1,14,7|4,0
1,14,7|5,0
1,14,7|6,0
1,14,7|7,0
1,14,8|0,0
1,14,8|1,0
1,14,8|2,0
1,14,8|3,0
1,14,8|4,0
1,14,8|5,0
1,14,8|6,0
1,14,9|0,0
1,14,9|2,0
1,14,9|3,0
1,14,9|4,0
1,14,9|6,0
1,15,0|0,0
1,15,0|1,0
1,15,0|2,0
1,15,0|3,0
1,15,0|4,0
1,15,0|5,0
1,15,0|6,0
1,15,10|0,0
1,15,1|0,0
1,15,1|1,4
1,15,1|2,1
1,15,1|3,0
1,15,1|4,0
1,15,1|5,0
1,15,1|6,0
1,15,2|0,8
1,15,2|1,324
1,15,2|2,226
1,15,2|3,1
1,15,2|4,0
1,15,2|5,0
1,15,2|6,0
1,15,2|7,0
1,15,2|8,0
1,15,2|9,0
1,15,3|0,2
1,15,3|1,27
1,15,3|10,0
1,15,3|11,0
1,15,3|2,52
1,15,3|3,0
1,15,3|4,0
1,15,3|5,0
1,15,3|6,0
1,15,3|7,0
1,15,3|8,0
1,15,4|0,0
1,15,4|1,2
1,15,4|2,240
1,15,4|3,1
1,15,4|4,0
1,15,4|5,0
1,15,4|6,0
1,15,4|7,0
1,15,4|8,0
1,15,4|9,0
1,15,5|0,0
1,15,5|1,0
1,15,5|2,2
1,15,5|3,0
1,15,5|4,0
1,15,5|5,0
1,15,5|6,0
1,15,5|7,0
1,15,5|8,0
1,15,5|9,0
1,15,6|0,0
1,15,6|1,0
1,15,6|2,0
1,15,6|3,0
1,15,6|4,0
1,15,6|5,0
1,15,6|6,0
1,15,6|7,0
1,15,6|8,0
1,15,6|9,0
1,15,7|0,0
1,15,7|1,0
1,15,7|2,0
1,15,7|3,0
1,15,7|4,0
1,15,7|5,0
1,15,7|6,0
1,15,7|7,0
1,15,8|0,0
1,15,8|1,0
1,15,8|2,0
1,15,8|3,0
1,15,8|4,0
1,15,8|5,0
1,15,8|6,0
1,15,9|0,0
1,15,9|2,0
1,15,9|3,0
1,15,9|4,0
1,15,9|6,0
1,16,0|0,0
1,16,0|1,2
1,16,0|2,218
1,16,0|3,0
1,16,0|4,0
1,16,0|5,0
1,16,0|6,0
1,16,10|0,0
1,16,1|0,7
1,16,1|1,326
1,16,1|2,3
1,16,1|3,0
1,16,1|4,0
1,16,1|5,0
1,16,1|6,0
1,16,2|0,0
1,16,2|1,18
1,16,2|2,311
1,16,2|3,0
